sb.prepare.met.point-query.warm.range100.pk1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.009106	0	0	0.001	1380	x.pg9224_def.x9a2_bee.pk1
0.008919	0	0	0.002	1391	x.pg9325_def.x9a2_bee.pk1
0.008730	0	0	0.001	1423	x.pg9426_def.x9a2_bee.pk1
0.008990	0	0	0.005	1382	x.pg9525_def.x9a2_bee.pk1
0.009091	0	0	0.001	1366	x.pg9624_def.x9a2_bee.pk1
0.009130	0	0	0.001	1358	x.pg1023_def.x9a2_bee.pk1
0.008649	0	0	0.001	1435	x.pg1122_def.x9a2_bee.pk1
0.008860	0	0	0.001	1402	x.pg1217_def.x9a2_bee.pk1
0.008608	0	0	0.001	1449	x.pg1313_def.x9a2_bee.pk1
0.008452	0	0	0.001	1468	x.pg1411_def.x9a2_bee.pk1
0.008409	0	0	0	1475	x.pg156_def.x9a2_bee.pk1
0.008497	0	0	0	1462	x.pg162_def.x9a2_bee.pk1
--- relative to first result
1.00		1	1	1.00	1.00	x.pg9124_def.x9a2_bee.pk1
0.90		1	1	1.00	1.13	x.pg9224_def.x9a2_bee.pk1
0.88		1	1	2.00	1.14	x.pg9325_def.x9a2_bee.pk1
0.87		1	1	1.00	1.16	x.pg9426_def.x9a2_bee.pk1
0.89		1	1	5.00	1.13	x.pg9525_def.x9a2_bee.pk1
0.90		1	1	1.00	1.12	x.pg9624_def.x9a2_bee.pk1
0.91		1	1	1.00	1.11	x.pg1023_def.x9a2_bee.pk1
0.86		1	1	1.00	1.17	x.pg1122_def.x9a2_bee.pk1
0.88		1	1	1.00	1.15	x.pg1217_def.x9a2_bee.pk1
0.85		1	1	1.00	1.18	x.pg1313_def.x9a2_bee.pk1
0.84		1	1	1.00	1.20	x.pg1411_def.x9a2_bee.pk1
0.83		1	1	0.00	1.21	x.pg156_def.x9a2_bee.pk1
0.84		1	1	0.00	1.20	x.pg162_def.x9a2_bee.pk1

sb.met.range-covered-pk.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.001219	0	0	0	10158	x.pg9023_def.x9a2_bee.pk1
0.001226	0	0	0	10129	x.pg9124_def.x9a2_bee.pk1
0.001592	0	0	0	7944	x.pg9224_def.x9a2_bee.pk1
0.001543	0	0	0	8038	x.pg9325_def.x9a2_bee.pk1
0.001536	0	0	0	8100	x.pg9426_def.x9a2_bee.pk1
0.001624	0	0	0.001	7702	x.pg9525_def.x9a2_bee.pk1
0.001644	0	0	0	7645	x.pg9624_def.x9a2_bee.pk1
0.001642	0	0	0	7633	x.pg1023_def.x9a2_bee.pk1
0.001456	0	0	0	8545	x.pg1122_def.x9a2_bee.pk1
0.001497	0	0	0	8404	x.pg1217_def.x9a2_bee.pk1
0.001440	0	0	0	8696	x.pg1313_def.x9a2_bee.pk1
0.001426	0	0	0	8738	x.pg1411_def.x9a2_bee.pk1
0.001457	0	0	0	8512	x.pg156_def.x9a2_bee.pk1
0.001467	0	0	0	8474	x.pg162_def.x9a2_bee.pk1
--- relative to first result
1.01		1	1	1	1.00	x.pg9124_def.x9a2_bee.pk1
1.31		1	1	1	0.78	x.pg9224_def.x9a2_bee.pk1
1.27		1	1	1	0.79	x.pg9325_def.x9a2_bee.pk1
1.26		1	1	1	0.80	x.pg9426_def.x9a2_bee.pk1
1.33		1	1	inf	0.76	x.pg9525_def.x9a2_bee.pk1
1.35		1	1	1	0.75	x.pg9624_def.x9a2_bee.pk1
1.35		1	1	1	0.75	x.pg1023_def.x9a2_bee.pk1
1.19		1	1	1	0.84	x.pg1122_def.x9a2_bee.pk1
1.23		1	1	1	0.83	x.pg1217_def.x9a2_bee.pk1
1.18		1	1	1	0.86	x.pg1313_def.x9a2_bee.pk1
